query_id,airport,goal,haversine_km,shortest_route_km,admissible
Q1,GLA,KEF,1347.458655512922,1347.458655512922,True
Q1,IBZ,KEF,3206.354487647669,3244.496016551838,True
Q1,GZP,KEF,4744.9087832468385,4745.737209983785,True
Q1,TUU,KEF,5710.898377664557,5847.100140239694,True
Q1,OAK,KEF,6731.273795532168,6893.0445035120665,True
Q1,ANC,KEF,5424.449731467039,8136.991616130092,True
Q1,JSR,KEF,8696.844767959301,9238.718829582449,True
Q1,AKY,KEF,9162.994186905693,10503.699419076842,True
Q1,ZCO,KEF,12238.322435834461,12935.759103655499,True
Q1,OTD,KEF,7561.169048026826,30818.526100475145,True
Q2,MVD,EZE,228.64298362409997,228.64298362409997,True
Q2,GUA,EZE,6448.410460122381,6462.039592709386,True
Q2,SBN,EZE,8969.088441286713,8973.011366596758,True
Q2,DIK,EZE,10095.493267236305,10307.231769656102,True
Q2,LAU,EZE,10724.041700187916,11502.118589164069,True
Q2,BMA,EZE,12583.768592683047,12584.100149484386,True
Q2,KUT,EZE,13341.027971667698,13831.40497256067,True
Q2,NCU,EZE,14697.081895255347,15633.0371768151,True
Q2,MIG,EZE,18414.83067288276,18788.056667593104,True
Q2,DEE,EZE,11609.542888098356,29101.916861177266,True
Q3,GRJ,CPT,348.2713383357832,348.2713383357832,True
Q3,EBL,CPT,8237.783123939827,8657.320648299252,True
Q3,SCN,CPT,9318.788423352775,9648.053521028845,True
Q3,BGO,CPT,10552.389499072093,10552.819963416892,True
Q3,ATM,CPT,8044.526553690724,11640.966118023136,True
Q3,SHA,CPT,12951.233417294236,13083.168747578728,True
Q3,ULG,CPT,11599.703214971243,14080.550727842116,True
Q3,YNG,CPT,13117.554678642184,14938.908452554595,True
Q3,APW,CPT,14583.127549547055,16674.46410383354,True
Q3,OTD,CPT,11243.53624131001,37413.65773901831,True
