query_id,algorithm,path,hops,cost_km,expanded,max_frontier,runtime_ms,gap_pct
Q1,UCS,KUL -> HKT -> LED -> HEL -> KEF,4,11461.348578050694,1851,616,6.7663999798242,0.0
Q1,GBFS,KUL -> LHR -> KEF,2,12500.498489789588,2,246,3.536900010658428,9.066558831732419
Q1,A*,KUL -> HKT -> LED -> HEL -> KEF,4,11461.348578050694,69,409,3.5361000045668334,0.0
Q2,UCS,SIN -> JNB -> GRU -> EZE,3,17817.356252826285,3002,620,8.964800013927743,0.0
Q2,GBFS,SIN -> JNB -> GRU -> EZE,3,17817.356252826285,3,262,3.222800005460158,0.0
Q2,A*,SIN -> JNB -> GRU -> EZE,3,17817.356252826285,151,330,3.2976999937091023,0.0
Q3,UCS,NRT -> HKG -> MRU -> CPT,3,14813.319264012905,3042,1018,7.404300005873665,0.0
Q3,GBFS,NRT -> DOH -> JNB -> CPT,3,15811.29463537717,3,234,3.3734999888110906,6.7370138560958415
Q3,A*,NRT -> HKG -> MRU -> CPT,3,14813.319264012905,63,496,3.388800018001348,0.0
Q1,Weighted A* (1.5h),KUL -> AMS -> KEF,2,12274.31753121269,2,317,4.763100005220622,7.093135224234337
Q2,Weighted A* (1.5h),SIN -> JNB -> GRU -> EZE,3,17817.356252826285,3,262,2.880799991544336,0.0
Q3,Weighted A* (1.5h),NRT -> CMB -> SEZ -> JNB -> CPT,4,14929.353967643605,4,189,2.7181000041309744,0.7833133247360013
