seed,train_rmse,test_rmse,runtime_s
1,6113.067842505019,5829.378208110291,0.03945070001645945
2,6113.067843079359,5829.3791085013645,0.038602399989031255
3,6113.067842434378,5829.378139839105,0.03907279999111779
4,6113.067842441267,5829.376725118293,0.04159469998558052
5,6113.06784287954,5829.381104997039,0.03865189998759888
6,6113.06784261636,5829.375133116162,0.040411699999822304
7,6113.0678518694895,5829.377196233882,0.038390400004573166
8,6113.067842969595,5829.379980867218,0.04035550000844523
9,6113.067842519684,5829.380463726415,0.03915840000263415
10,6113.06784274781,5829.380418915038,0.03858870000112802
