seed,train_rmse,test_rmse,runtime_s
1,6113.067847973518,5829.395779075322,0.02169980001053773
2,6113.067862093752,5829.360643646878,0.018089599994709715
3,6113.067860856759,5829.350613285658,0.017882600019220263
4,6113.067880373155,5829.345985695145,0.0171054000093136
5,6113.067864222635,5829.3630660838335,0.016984399990178645
6,6113.06788606852,5829.426632396897,0.016660100023727864
7,6113.067859884735,5829.405204575715,0.016945500014116988
8,6113.067852676168,5829.3818900376245,0.016715799982193857
9,6113.067863902092,5829.391287947312,0.016759599995566532
10,6113.067859909217,5829.381858470813,0.01665299999876879
