respondent_id,gender,income_quintile,urban_rural,education,has_account,transactions_90d,uses_credit,uses_savings,cost,distance,documentation,trust,no_credit_history,has_mobile_money,has_utility_account
R000000,male,1,urban,primary,0,0,0,0,0,0,1,0,1,1,1
R000001,female,1,rural,secondary,1,5,0,1,0,0,0,0,0,0,0
R000002,female,1,rural,primary,1,1,0,0,0,0,0,0,0,0,0
R000003,male,5,urban,secondary,1,5,0,0,0,0,0,0,0,1,1
R000004,female,2,urban,primary,1,1,0,0,0,0,0,0,0,1,1
R000005,female,5,rural,secondary,1,5,1,1,0,0,0,0,0,0,1
R000006,male,3,rural,secondary,1,0,0,1,0,0,0,0,0,1,0
R000007,male,2,rural,secondary,0,0,0,0,1,1,1,0,1,0,0
R000008,female,1,rural,secondary,1,0,1,0,0,0,0,0,0,0,0
R000009,female,2,rural,secondary,0,0,0,0,0,1,0,0,0,1,0
R000010,female,2,urban,tertiary,1,1,0,1,0,0,0,0,0,0,0
R000011,female,3,rural,primary,0,0,0,0,1,0,0,1,1,1,0
R000012,male,4,urban,none,0,0,0,0,0,1,0,1,0,0,1
R000013,female,3,urban,tertiary,1,1,0,0,0,0,0,0,0,1,1
R000014,male,3,urban,secondary,1,1,0,0,0,0,0,0,0,1,1
R000015,female,3,urban,tertiary,1,0,1,0,0,0,0,0,0,1,1
R000016,male,3,urban,secondary,1,1,1,0,0,0,0,0,0,1,1
R000017,male,3,rural,none,1,2,0,1,0,0,0,0,0,1,1
R000018,female,2,urban,tertiary,1,12,0,1,0,0,0,0,0,0,0
R000019,male,5,rural,primary,1,1,0,1,0,0,0,0,0,1,0
R000020,female,4,urban,secondary,0,0,0,0,0,0,0,1,1,0,1
R000021,male,4,urban,secondary,1,12,1,0,0,0,0,0,0,1,1
R000022,male,3,urban,primary,0,0,0,0,1,0,0,0,0,1,0
R000023,female,4,urban,secondary,1,2,1,0,0,0,0,0,0,1,1
R000024,male,5,urban,primary,1,30,0,0,0,0,0,0,0,1,1
R000025,male,4,rural,tertiary,1,0,0,1,0,0,0,0,0,0,0
R000026,female,1,urban,secondary,1,5,0,0,0,0,0,0,0,0,1
R000027,female,5,rural,none,1,1,1,0,0,0,0,0,0,1,1
R000028,male,3,urban,none,1,12,0,0,0,0,0,0,0,0,1
R000029,female,1,urban,tertiary,1,12,0,0,0,0,0,0,0,1,1
R000030,male,5,urban,secondary,1,30,0,0,0,0,0,0,0,0,1
R000031,female,4,urban,tertiary,1,12,0,1,0,0,0,0,0,0,1
R000032,male,4,urban,secondary,1,2,0,1,0,0,0,0,0,1,1
R000033,female,5,rural,primary,1,2,0,1,0,0,0,0,0,0,1
R000034,male,1,rural,primary,1,2,0,0,0,0,0,0,0,0,0
R000035,female,3,urban,secondary,1,30,0,0,0,0,0,0,0,0,1
R000036,female,1,rural,primary,0,0,0,0,0,0,1,0,1,0,1
R000037,female,2,rural,secondary,0,0,0,0,0,1,0,1,1,1,0
