loan_id,grade,amount,term_months,interest_rate,defaulted,recovery_rate
L000000,A,10000,12,0.0539,0,0.0
L000001,B,500,60,0.0758,0,0.0
L000002,C,5000,60,0.1017,0,0.0
L000003,A,500,60,0.0447,0,0.0
L000004,A,5000,36,0.0611,0,0.0
L000005,C,500,12,0.1216,0,0.0
L000006,A,500,12,0.0583,0,0.0
L000007,E,10000,12,0.1974,0,0.0
L000008,A,2500,36,0.0474,0,0.0
L000009,C,1000,24,0.1046,0,0.0
L000010,D,2500,24,0.1504,0,0.0
L000011,C,2500,60,0.1101,1,0.3973
L000012,D,2500,60,0.1496,0,0.0
L000013,A,1000,12,0.063,0,0.0
L000014,D,7500,36,0.1483,0,0.0
L000015,A,500,12,0.0487,0,0.0
L000016,D,500,24,0.1486,0,0.0
L000017,C,2500,12,0.125,0,0.0
L000018,C,10000,60,0.1111,0,0.0
L000019,D,500,24,0.1537,0,0.0
L000020,D,1000,60,0.1454,0,0.0
L000021,B,2500,12,0.0677,0,0.0
L000022,A,1000,12,0.0482,0,0.0
L000023,C,1000,60,0.1161,0,0.0
L000024,D,500,60,0.1489,0,0.0
L000025,C,7500,12,0.1131,0,0.0
L000026,C,1000,60,0.1127,0,0.0
L000027,D,500,60,0.1504,0,0.0
L000028,A,500,24,0.0555,0,0.0
L000029,B,7500,24,0.0768,0,0.0
L000030,C,500,12,0.1161,0,0.0
L000031,B,500,60,0.0775,0,0.0
L000032,C,1000,12,0.1074,0,0.0
L000033,C,10000,60,0.1035,0,0.0
L000034,B,5000,36,0.0803,0,0.0
L000035,E,7500,60,0.1961,0,0.0
L000036,C,7500,12,0.1044,0,0.0
L000037,A,7500,12,0.0628,0,0.0
L000038,C,10000,12,0.1084,0,0.0
L000039,D,7500,12,0.1534,0,0.0
L000040,B,5000,60,0.0763,0,0.0
L000041,B,1000,12,0.0755,0,0.0
L000042,D,2500,12,0.1554,0,0.0
L000043,D,1000,24,0.1479,0,0.0
L000044,D,2500,60,0.1438,0,0.0
L000045,B,1000,36,0.0729,0,0.0
L000046,D,1000,24,0.1459,0,0.0
L000047,A,1000,36,0.0624,0,0.0
L000048,D,7500,24,0.147,0,0.0
L000049,E,2500,24,0.1974,0,0.0
L000050,A,7500,36,0.0525,0,0.0
L000051,A,7500,60,0.0485,0,0.0
L000052,C,7500,12,0.1089,0,0.0
L000053,A,500,24,0.0536,0,0.0
L000054,B,10000,60,0.0723,0,0.0
L000055,B,2500,12,0.0844,0,0.0
L000056,A,2500,24,0.0533,0,0.0
L000057,A,5000,12,0.0517,0,0.0
L000058,A,1000,12,0.0592,0,0.0
L000059,E,500,12,0.1926,0,0.0
L000060,A,7500,24,0.052,0,0.0
L000061,B,10000,36,0.0759,0,0.0
L000062,B,10000,60,0.0813,0,0.0
L000063,C,5000,60,0.1042,0,0.0
L000064,D,1000,60,0.152,0,0.0
L000065,A,5000,12,0.046,0,0.0
L000066,B,10000,36,0.0741,0,0.0
L000067,E,5000,12,0.1898,0,0.0
L000068,B,5000,12,0.0699,0,0.0
L000069,A,5000,12,0.062,0,0.0
L000070,C,10000,12,0.1078,0,0.0
L000071,C,2500,36,0.1217,0,0.0
L000072,B,7500,12,0.074,0,0.0
L000073,B,500,60,0.0788,1,0.276
L000074,B,5000,36,0.0832,1,0.1969
L000075,A,2500,12,0.0606,0,0.0
L000076,B,1000,12,0.0768,0,0.0
L000077,B,5000,36,0.0748,0,0.0
L000078,C,500,60,0.117,0,0.0
L000079,B,2500,36,0.0748,0,0.0
L000080,B,2500,36,0.0796,0,0.0
L000081,B,5000,60,0.0814,0,0.0
L000082,C,10000,60,0.104,0,0.0
L000083,D,500,24,0.151,0,0.0
L000084,B,7500,36,0.0778,0,0.0
L000085,A,500,36,0.0497,0,0.0
L000086,D,2500,36,0.1462,0,0.0
L000087,C,1000,12,0.11,0,0.0
L000088,B,500,60,0.0715,0,0.0
L000089,E,10000,12,0.1942,0,0.0
L000090,B,5000,12,0.0819,0,0.0
L000091,E,7500,24,0.2002,0,0.0
L000092,C,500,36,0.1148,0,0.0
L000093,C,5000,12,0.1069,0,0.0
L000094,D,5000,60,0.1401,0,0.0
L000095,B,5000,36,0.0782,0,0.0
L000096,B,7500,12,0.085,0,0.0
L000097,A,500,60,0.0551,0,0.0
L000098,C,1000,24,0.1158,1,0.2077
L000099,A,7500,60,0.0593,0,0.0
L000100,D,500,36,0.1506,0,0.0
L000101,B,5000,36,0.0834,0,0.0
L000102,A,2500,12,0.0598,0,0.0
L000103,B,10000,36,0.0803,0,0.0
L000104,E,1000,24,0.2024,0,0.0
L000105,E,10000,60,0.1984,0,0.0
L000106,D,2500,12,0.1564,1,0.2602
L000107,B,10000,60,0.0801,0,0.0
L000108,C,10000,36,0.1068,0,0.0
L000109,C,1000,36,0.1145,0,0.0
L000110,C,500,12,0.1113,0,0.0
L000111,A,1000,12,0.052,0,0.0
L000112,D,1000,12,0.1527,0,0.0
L000113,B,1000,60,0.0746,0,0.0
L000114,B,500,12,0.0728,0,0.0
L000115,B,10000,36,0.0779,1,0.2759
L000116,C,2500,24,0.1078,0,0.0
L000117,B,10000,36,0.0741,0,0.0
L000118,C,2500,36,0.1039,0,0.0
L000119,C,5000,60,0.1104,0,0.0
L000120,C,500,60,0.1215,0,0.0
L000121,A,500,24,0.0386,0,0.0
L000122,C,1000,24,0.109,0,0.0
L000123,E,1000,12,0.1989,0,0.0
L000124,A,1000,36,0.0404,0,0.0
L000125,B,2500,12,0.0734,0,0.0
L000126,B,2500,12,0.0813,0,0.0
L000127,E,1000,36,0.1965,0,0.0
L000128,C,1000,12,0.1095,0,0.0
L000129,A,7500,60,0.0508,0,0.0
L000130,A,5000,12,0.0545,0,0.0
