date,crypto_usd,fiat_eurusd,equity_index
2021-01-01,7961.077712,1.105942,3225.128097
2021-01-02,8105.448835,1.106638,3228.100863
2021-01-03,8082.117151,1.109185,3210.190505
2021-01-04,8571.342536,1.116326,3220.685381
2021-01-05,8970.230236,1.123355,3219.928693
2021-01-06,8750.778215,1.128217,3181.446285
2021-01-07,9067.087625,1.130683,3161.500783
2021-01-08,8368.649103,1.132586,3182.7213
2021-01-09,8506.000817,1.119184,3194.605637
2021-01-10,8593.101344,1.119218,3169.165852
2021-01-11,8114.684083,1.126263,3168.948432
2021-01-12,7685.716303,1.132065,3133.987944
2021-01-13,7849.645253,1.124989,3126.217888
2021-01-14,7800.983474,1.134854,3092.142289
2021-01-15,7567.754364,1.140887,3127.662896
2021-01-16,7611.805964,1.137697,3111.300293
2021-01-17,7165.441448,1.142908,3132.532278
2021-01-18,7410.970969,1.147448,3148.652856
2021-01-19,7709.552018,1.142462,3208.346752
2021-01-20,7823.051338,1.138921,3178.458037
2021-01-21,7772.106525,1.143326,3196.710884
2021-01-22,8163.148022,1.1557,3220.241214
2021-01-23,8523.724492,1.160281,3195.524663
2021-01-24,8394.165618,1.159242,3228.785327
2021-01-25,8008.678567,1.172083,3207.088781
2021-01-26,7733.880097,1.168755,3177.784004
2021-01-27,7779.666864,1.169702,3236.468417
2021-01-28,7682.976308,1.175962,3261.290663
2021-01-29,7826.985543,1.164585,3277.469232
2021-01-30,7898.040486,1.158803,3305.081097
2021-01-31,8316.119175,1.162983,3307.077424
2021-02-01,7990.801927,1.166149,3282.821924
2021-02-02,8149.085157,1.161501,3259.09217
2021-02-03,8332.394143,1.158683,3198.53832
2021-02-04,8727.661717,1.161876,3223.468705
2021-02-05,8313.630954,1.162396,3253.583072
2021-02-06,8489.63766,1.159901,3284.242986
2021-02-07,8408.268298,1.151447,3279.011063
2021-02-08,8241.648788,1.1449,3310.137833
2021-02-09,7928.266165,1.151677,3288.265081
2021-02-10,7850.384085,1.150707,3308.242221
2021-02-11,7743.821361,1.15097,3319.121485
2021-02-12,7551.608622,1.147384,3287.057831
2021-02-13,7144.411806,1.156499,3267.960202
2021-02-14,7293.052249,1.151986,3319.58195
2021-02-15,7457.336348,1.158036,3319.499362
