param_model__kernel,param_model__C,param_model__gamma,mean_test_score,std_test_score,rank_test_score
rbf,10.0,0.01,0.9954,0.0053,1
rbf,100.0,0.01,0.9945,0.0049,2
rbf,1.0,scale,0.9942,0.0042,3
rbf,10.0,scale,0.9937,0.0043,4
linear,0.1,0.1,0.9932,0.0054,5
linear,0.1,0.01,0.9932,0.0054,5
linear,0.1,scale,0.9932,0.0054,5
rbf,1.0,0.01,0.9925,0.0062,8
linear,1.0,0.1,0.9889,0.0095,9
linear,1.0,0.01,0.9889,0.0095,9
linear,1.0,scale,0.9889,0.0095,9
rbf,100.0,scale,0.9885,0.0091,12
rbf,1.0,0.1,0.9884,0.0079,13
rbf,0.1,0.01,0.9852,0.0078,14
linear,10.0,scale,0.9838,0.0139,15
linear,10.0,0.01,0.9838,0.0139,15
linear,10.0,0.1,0.9838,0.0139,15
rbf,0.1,scale,0.9828,0.0085,18
rbf,10.0,0.1,0.9817,0.0127,19
linear,100.0,scale,0.9816,0.0165,20
linear,100.0,0.1,0.9816,0.0165,20
linear,100.0,0.01,0.9816,0.0165,20
rbf,100.0,0.1,0.9815,0.0127,23
rbf,0.1,0.1,0.9782,0.0115,24
