,amount,transaction_hour,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,fraud_label,anomaly_score
6394,840.89,18,1,1,74,0,18,0,0.21289150755137243
5883,978.56,8,0,1,42,0,23,0,0.16865701042841152
1623,569.02,1,1,1,49,2,41,1,0.16644557550365835
522,630.67,5,1,1,70,2,29,0,0.16551985209764886
5536,28.31,1,1,1,52,4,27,1,0.16337657961678165
9073,131.05,4,0,1,96,7,26,0,0.15844201078825693
4642,351.99,11,1,1,76,2,21,0,0.1554780589995337
645,398.17,1,1,1,72,2,62,1,0.1550630992834352
7166,353.58,21,1,1,44,2,50,0,0.15438799506512346
7698,75.88,15,0,1,84,7,22,0,0.15277953853027737
67,291.69,18,1,1,68,1,22,0,0.15265885190894612
4404,820.24,14,1,0,98,3,66,0,0.15213933565735704
9553,182.65,2,1,1,31,2,28,1,0.14984359691771854
1104,950.41,1,0,1,70,2,60,1,0.1485679276769375
7656,226.79,2,1,1,91,3,52,1,0.14834463639548667
6788,342.18,4,1,1,66,1,58,0,0.1478922278574185
6451,1036.82,0,0,0,28,0,20,1,0.1459586354733643
2630,180.29,3,1,1,33,2,33,1,0.14583017545228905
9675,156.14,8,1,1,41,4,55,0,0.14560098739404426
531,1471.04,15,1,0,44,3,48,0,0.14434109863023614
2764,25.95,6,1,1,82,1,23,0,0.14381824208757432
3148,278.69,12,1,1,88,2,64,0,0.14296089936310474
6070,536.66,0,1,0,98,3,22,0,0.14277650349220528
5856,27.96,5,1,1,27,1,35,1,0.1419170553774154
6916,85.86,5,1,1,45,1,67,0,0.14001085304782213
5342,17.24,17,1,1,30,2,29,1,0.13999822677516427
5008,36.12,8,1,1,51,1,20,0,0.13979990991483582
775,29.24,14,1,1,92,2,57,0,0.13947027320323246
7802,772.92,5,0,1,35,0,56,0,0.13935677048870065
3960,153.58,21,1,1,77,1,31,0,0.1390334594212137
1991,31.15,8,1,1,67,2,69,0,0.1387892379699993
9445,8.21,19,1,1,84,1,35,0,0.13786454013743665
2656,310.86,6,1,1,76,2,36,0,0.13640355504424995
5748,763.3,13,0,1,42,2,19,0,0.1363328440700342
4437,274.54,14,1,1,74,2,62,0,0.13592911701273025
8380,130.22,21,1,1,53,3,58,0,0.13545841159106442
106,95.09,4,0,1,78,6,24,0,0.13540446011516027
9973,11.22,1,0,1,25,4,32,1,0.13460646065364057
9777,959.53,9,1,0,48,1,25,0,0.13371062620990715
8049,26.87,0,0,1,32,0,21,1,0.13303963043971445
57,39.26,11,1,1,34,3,45,1,0.1327088872795994
8731,244.8,7,0,1,88,6,60,0,0.13254453680628142
6847,107.24,21,1,1,69,3,40,0,0.13210001572664087
1634,471.55,2,0,1,27,3,63,1,0.13126419010408696
4207,140.31,5,0,1,98,4,19,0,0.13111855350550006
6446,624.21,21,0,1,26,1,41,0,0.13002419432733414
7444,74.7,21,1,1,79,2,41,0,0.13001708138955892
3526,650.66,23,1,0,47,2,62,0,0.12880826009144175
7176,862.17,9,0,1,91,1,38,0,0.12783813423232682
8803,869.46,10,1,0,67,3,34,0,0.1274024063701955
2789,947.31,14,0,1,87,2,32,0,0.1272591157485825
261,829.9,1,1,0,65,2,60,0,0.12667150753346101
8257,713.68,1,1,0,80,1,59,0,0.12432942876563813
7677,601.85,0,1,0,89,1,57,0,0.12415741787082968
4969,100.27,1,0,1,47,5,23,1,0.12260568961403584
7631,166.39,18,0,1,96,0,20,0,0.12237676151127419
3703,339.23,21,0,1,45,4,21,0,0.12154099615300729
6001,34.06,23,0,1,31,5,41,1,0.12149598909677262
6012,694.93,13,1,0,59,5,32,0,0.12149174549384101
8112,655.17,0,1,0,61,3,26,0,0.12112428678729736
8173,63.8,19,1,0,51,6,69,0,0.12089238724045737
3132,485.78,9,0,1,98,1,24,0,0.12084115893902792
6117,813.84,18,0,1,52,2,68,0,0.12057202839268732
