epoch,mlp_train,mlp_validation,cnn_train,cnn_validation
1,0.9313,0.9183,0.8881,0.866
2,0.9596,0.9518,0.9397,0.9194
3,0.9662,0.956,0.9369,0.9277
4,0.9697,0.9602,0.9718,0.9571
5,0.9766,0.9675,0.9794,0.9675
6,0.9801,0.9738,0.9784,0.9759
7,0.9745,0.9696,0.9874,0.9696
8,0.9798,0.9654,0.9885,0.9791
9,0.9861,0.9707,0.9902,0.9738
10,0.9861,0.978,0.9885,0.978
11,0.9878,0.9707,0.9916,0.9801
12,0.9902,0.9717,0.993,0.9791
13,0.9902,0.9738,0.9948,0.9843
14,0.9951,0.9738,0.9861,0.9675
15,0.9955,0.978,0.9868,0.977
16,0.9948,0.9801,0.9913,0.9759
17,0.9927,0.9749,0.9955,0.978
18,0.9969,0.9801,0.9972,0.9791
19,0.9986,0.9791,0.9958,0.9843
20,0.9965,0.9759,0.9976,0.9843
